Version;Date;Description;VLAB_issue;Input_Change?;Type;Category;Sub_Category
3.30.07.01;2017-08-07;augmentation of SPR/YPR profile to show mean age of catch and other updates;;No;revise;benchmark;report
3.30.07.01;2017-08-07;revise detailed F input to allow filling all years with one input record;;"Yes, conditional in control file";revise;fishing mortality;input
3.30.06.02;2017-07-26;"fix problem that overwrote averaged forecast selectivity with base selectivity when time-varying was used, set new switch in forecast.ss to 0 to use average selectivity over a range of years, as in 3.24";;"Yes, mandatory in forecast file";fix;forecast;
3.30.06.02;2017-07-26;improve reporting of selectivity in forecast era;;No;new;selectivity;
3.30.06.02;2017-07-26;report more info in fit_age_comps section to match what is displayed for fit_len_comps;;No;new;agecomp;report
3.30.06.02;2017-07-26;fix reporting of dev column in INDEX_2 section of report.sso;;No;fix;survey;report
3.30.06.02;2017-07-26;remove the constrant that the blocks cannot end after retroyr in order to allow changes in forecast;;No;update;selectivity;blocks
3.30.06.02;2017-07-26;add column with ABC_buffer to time_series table in report.sso;;No;new;forecast;report
3.30.06.02;2017-07-27;"in sstrans, fix creation of settlement timings from multiple settlement events that happen in same month";;No;fix;recruitment;
3.30.06.01;2017-07-12;enhance control of phases when using depletion fleet, no mandatory I/O change;;"Yes, conditional in control file";new;survey;
3.30.05.02;2017-06-28;fix recruitment reporting issue when settlement events happen in same season as spawn_season;;No;fix;various;
3.30.05.01;2017-06-21;"min sample size now is input, add new switch, fcast_specify_selex, in forecast.ss for selectivity method";;"Yes, mandatory in control file";new;various;
3.30.04.01;2017-05-23;convert conversion of 3.24's birthseason to 3.30's settlement events and revise required number of recruitment distribution parameters;;"Yes, mandatory in control file";revise;read;spawn_recruit
3.30.04.01;2017-05-30;fix index issue in converter for MGparm seasonal effects and for retention if fleet >1, fix hermaphrodites in forecast;;No;fix;various;
3.30.03.04;2017-05-10;major re-work of echoinput during reading of forecast.ss;;No;update;forecast;read
3.30.03.04;2017-05-10;correct reporting of mature biomass and mature numbers in forecast;;No;fix;report;spawn_recruit
3.30.03.03;2017-05-08;update sdreport for index values;;No;update;statistics;
3.30.03.03;2017-05-08;"fix doubled logL from forecast recruitments, investigate issue with blocks ending at endyr, not endyr+1";;No;fix;forecast;
3.30.03.02;2017-05-01;correct issue with Lorenzen M when growth is not estimated;;No;fix;growth;
3.30.03.01;2017-04-18;correct order of parameter reporting in parmtrace and posteriors, correct issue in autogenerate of dev se;;No;fix;selectivity;
3.30.03.00;2017-04-14;modify I/O in survey CPUE setup for getting sdreport on survey expected value, but functional code still in development;;"Yes; mandatory in data file";new;statistics;
3.30.03.00;2017-04-18;modify I/O in selectivity setup to invoke 2d_AR1 selectivity, but functional code still in development;;"Yes, mandatory in control file";new;selectivity;
3.30.02.00;2017-04-13;add ability to have expected values in forecast, all data read after retroyr set to have no logL; also add explicit timing option (month>1000) for fishery samples;;"Yes;  conditional in data file";new;forecast,expected_values
3.30.01.15;2017-04-13;various fixes implemented, see git for details.  Includes addition of truncated normal error for discard data;;"Yes, conditional in control file";fix;;
3.30.01.00;2016-11-22;"revise 3rd retention parameter from direct estimate on 0, 1 scale to logit:  1/(1+exp(-X)), convert with sstrans";;"Yes, conditional in control file";revise;selectivity;retention
3.30.00.03;2016-11-17;fix Q parm count issue in ss_readcontrol_324;;No;fix;read;Q
3.30.00.02;2016-11-15;fix missing write of length_maturity vector for maturity option 6;;No;fix;write;biology
3.30.00.01;2016-11-09;fix missing surv1_endyr and nilnumbers value, both needed for forecast with Pope's approx;;No;fix;forecast;
3.30.00.00;2016-11-09;Initial beta for SS 3.30;;Yes;;;
